country,clicks,impressions,ctr,position
usa,92,20527,0.0044819018853217716,9.751351878014322
nga,14,765,0.018300653594771243,5.776470588235294
phl,14,1353,0.010347376201034738,7.26459719142646
can,13,1112,0.011690647482014389,7.945143884892087
gbr,12,1469,0.008168822328114363,7.447243022464262
ind,12,1018,0.011787819253438114,8.532416502946955
fra,8,269,0.02973977695167286,6.899628252788104
deu,7,806,0.008684863523573201,6.316377171215881
aus,6,510,0.011764705882352941,7.398039215686275
zaf,5,285,0.017543859649122806,7.919298245614035
are,4,194,0.020618556701030927,7.515463917525773
kor,4,204,0.0196078431372549,6.642156862745098
rus,4,257,0.01556420233463035,5.992217898832685
sgp,4,174,0.022988505747126436,6.281609195402299
swe,4,136,0.029411764705882353,6.3161764705882355
aut,3,62,0.04838709677419355,5.467741935483871
che,3,51,0.058823529411764705,7.392156862745098
chn,3,217,0.013824884792626729,9.714285714285714
dom,3,64,0.046875,5.890625
isr,3,100,0.03,6.13
tur,3,150,0.02,8.266666666666666
arg,2,158,0.012658227848101266,9.20253164556962
egy,2,127,0.015748031496062992,6.889763779527559
eth,2,61,0.03278688524590164,7.770491803278689
idn,2,378,0.005291005291005291,6.656084656084656
lbn,2,49,0.04081632653061224,6.73469387755102
lva,2,19,0.10526315789473684,7.157894736842105
mys,2,324,0.006172839506172839,10.222222222222221
pak,2,282,0.0070921985815602835,8.368794326241135
pol,2,141,0.014184397163120567,6.283687943262412
prt,2,70,0.02857142857142857,6.757142857142857
sau,2,207,0.00966183574879227,7.8019323671497585
tto,2,83,0.024096385542168676,5.819277108433735
tza,2,25,0.08,6
ukr,2,118,0.01694915254237288,5.9576271186440675
vnm,2,564,0.0035460992907801418,11.551418439716311
zmb,2,65,0.03076923076923077,6.030769230769231
zwe,2,66,0.030303030303030304,4.984848484848484
alb,1,40,0.025,5.425
atg,1,7,0.14285714285714285,4.285714285714286
bel,1,83,0.012048192771084338,6.024096385542169
bgd,1,220,0.004545454545454545,8.98181818181818
bol,1,32,0.03125,5.625
chl,1,84,0.011904761904761904,8.428571428571429
dza,1,64,0.015625,7.265625
esp,1,238,0.004201680672268907,6.9789915966386555
fji,1,24,0.041666666666666664,4.25
gha,1,208,0.004807692307692308,6.298076923076923
glp,1,2,0.5,6
hkg,1,109,0.009174311926605505,7.339449541284404
hnd,1,18,0.05555555555555555,6.388888888888889
hrv,1,38,0.02631578947368421,6.2631578947368425
hun,1,43,0.023255813953488372,5.953488372093023
irn,1,38,0.02631578947368421,8.157894736842106
irq,1,128,0.0078125,7.7734375
jam,1,145,0.006896551724137931,6.593103448275862
jor,1,89,0.011235955056179775,8.04494382022472
khm,1,51,0.0196078431372549,6.294117647058823
lka,1,95,0.010526315789473684,6.242105263157895
ltu,1,26,0.038461538461538464,5
maf,1,1,1,4
mar,1,115,0.008695652173913044,10.71304347826087
mex,1,412,0.0024271844660194173,7.932038834951456
nic,1,21,0.047619047619047616,6
nld,1,626,0.001597444089456869,7.001597444089457
npl,1,76,0.013157894736842105,7
omn,1,30,0.03333333333333333,6.666666666666667
per,1,64,0.015625,5.078125
svn,1,15,0.06666666666666667,6.733333333333333
tgo,1,13,0.07692307692307693,8.461538461538462
ury,1,35,0.02857142857142857,9.8
yem,1,24,0.041666666666666664,4.75
abw,0,2,0,5
afg,0,17,0,5.588235294117647
ago,0,6,0,11.833333333333334
ala,0,1,0,12
and,0,1,0,34
arm,0,11,0,6.909090909090909
asm,0,1,0,1
aze,0,28,0,6.214285714285714
ben,0,10,0,3.1
bfa,0,7,0,5.571428571428571
bgr,0,36,0,6.416666666666667
bhr,0,26,0,4.923076923076923
bhs,0,30,0,5.2
bih,0,17,0,5
blr,0,30,0,3.2333333333333334
blz,0,25,0,5.68
bmu,0,2,0,7
bra,0,432,0,7.347222222222222
brb,0,19,0,6.315789473684211
brn,0,19,0,6.578947368421052
btn,0,4,0,8.25
bwa,0,20,0,7.85
civ,0,15,0,6.266666666666667
cmr,0,21,0,6.285714285714286
cod,0,18,0,5.944444444444445
cog,0,5,0,9.2
col,0,119,0,8.126050420168067
cpv,0,1,0,7
cri,0,22,0,7.454545454545454
cub,0,2,0,8.5
cuw,0,4,0,6.25
cym,0,1,0,11
cyp,0,22,0,4.863636363636363
cze,0,35,0,6.314285714285714
dji,0,7,0,7.142857142857143
dma,0,6,0,7
dnk,0,53,0,5.943396226415095
ecu,0,60,0,10.783333333333333
est,0,21,0,7.095238095238095
fin,0,57,0,6.105263157894737
gab,0,4,0,4.75
geo,0,30,0,6.7
ggy,0,1,0,8
gin,0,5,0,4.8
gmb,0,3,0,9
grc,0,103,0,7.184466019417476
grd,0,18,0,5.5
gtm,0,16,0,5.375
gum,0,15,0,6.933333333333334
guy,0,31,0,4.838709677419355
hti,0,4,0,17.75
imn,0,5,0,7.6
irl,0,91,0,6.868131868131868
isl,0,6,0,6.5
ita,0,309,0,6.563106796116505
jpn,0,228,0,7.464912280701754
kaz,0,44,0,5.113636363636363
ken,0,135,0,6.666666666666667
kgz,0,17,0,6.294117647058823
kir,0,2,0,9
kna,0,2,0,4
kwt,0,31,0,6.032258064516129
lao,0,7,0,4.142857142857142
lbr,0,6,0,4.166666666666666
lby,0,19,0,5.052631578947368
lca,0,17,0,6.588235294117647
lso,0,8,0,7.625
lux,0,3,0,6.666666666666667
mac,0,3,0,6.666666666666667
mco,0,1,0,9
mda,0,15,0,6.133333333333334
mdg,0,2,0,2
mdv,0,18,0,7.777777777777778
mhl,0,1,0,9
mkd,0,18,0,7.222222222222222
mli,0,4,0,6.75
mlt,0,6,0,7.666666666666667
mmr,0,17,0,7.176470588235294
mne,0,6,0,9.166666666666666
mng,0,10,0,5
mnp,0,4,0,8.75
moz,0,3,0,15
mrt,0,1,0,2
mus,0,22,0,5.636363636363637
mwi,0,19,0,5.368421052631579
nam,0,22,0,6.409090909090909
ner,0,1,0,1
nor,0,55,0,6
nru,0,3,0,6.666666666666667
nzl,0,124,0,8.04032258064516
pan,0,29,0,8.03448275862069
plw,0,1,0,1
png,0,8,0,8.25
pri,0,97,0,6.505154639175258
pry,0,32,0,10.15625
pse,0,29,0,5.310344827586207
qat,0,20,0,8.2
rou,0,110,0,6.681818181818182
rwa,0,8,0,4.75
sdn,0,9,0,5
sen,0,10,0,9.6
sle,0,9,0,5.555555555555555
slv,0,24,0,5.333333333333333
som,0,13,0,6.461538461538462
srb,0,32,0,5.1875
ssd,0,8,0,4.5
sur,0,11,0,6.090909090909091
svk,0,36,0,6.833333333333333
swz,0,3,0,6.666666666666667
sxm,0,1,0,6
syc,0,10,0,5.3
syr,0,89,0,3.842696629213483
tha,0,191,0,6.785340314136126
tjk,0,2,0,11
tkm,0,3,0,12.333333333333334
tls,0,2,0,1
ton,0,1,0,6
tun,0,40,0,4.8
twn,0,162,0,5.709876543209877
uga,0,68,0,6.764705882352941
uzb,0,43,0,9.488372093023257
vct,0,8,0,7.875
ven,0,66,0,7.242424242424242
vgb,0,5,0,5.6
vir,0,7,0,5.857142857142857
wsm,0,2,0,8
xkk,0,15,0,8.333333333333332
zzz,0,3,0,4.666666666666666
